Run	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[phenotype]	Sample Characteristic Ontology Term[phenotype]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[phenotype]	Factor Value Ontology Term[phenotype]	Analysed
SRR1146076	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146077	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146078	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146079	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146080	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146081	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146082	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146083	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146084	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146085	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146086	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
